name,lat,long
'Абаза',52.6517296,90.0885929
'Абакан',53.7223661,91.4437792
'Абдулино',53.6778096,53.6473115
'Абинск',44.8679931,38.1618437
'Агидель',55.89976,53.9221149
'Агрыз',56.5232645,52.994257
'Адыгейск',44.8783715,39.190172
'Азнакаево',54.8599054,53.0745505
'Азов',47.1120631,39.4232597
'Ак-Довурак',51.1785658,90.5984511
'Аксай',47.2676075,39.8755485
'Алагир',43.0416151,44.2198622
'Алапаевск',57.8475542,61.6693934
'Алатырь',54.8398179,46.5721423
'Алдан',58.6094885,125.3816689
'Алейск',52.4920914,82.7794145
'Александров',56.3919652,38.711035
'Александровск',59.1613773,57.5764851
'Александровск-Сахалинский',50.8973664,142.1579322
'Алексеевка',50.6299932,38.6881776
'Алексин',54.5083788,37.047891
'Алзамай',55.5550493,98.6644106
'Алушта',44.6764419,34.4100387
'Альметьевск',54.9013662,52.2970654
'Амурск',50.2345017,136.8791135
'Анадырь',64.7314347,177.5015752
'Анапа',44.8950777,37.3163142
'Ангарск',52.5448102,103.8885385
'Андреаполь',56.6507072,32.2621196
'Анжеро-Судженск',56.0787179,86.0202207
'Анива',46.7132526,142.5265052
'Апатиты',67.5678295,33.4067218
'Апрелевка',55.5276336,37.0651105
'Апшеронск',44.4585239,39.7300092
'Арамиль',56.6945341,60.8343825
'Аргун',43.2918071,45.8724383
'Ардатов',54.8465693,46.2412736
'Ардон',43.1756719,44.2955701
'Арзамас',55.3947544,43.8407855
'Аркадак',51.9387813,43.4997558
'Армавир',45.0010338,41.132392
'Армянск',46.1059247,33.6910325
'Арсеньев',44.16208,133.269622
'Арск',56.0913636,49.8770441
'Артем',43.350053,132.1596594
'Артемовск',54.3472901,93.4356543
'Артемовский',57.3384162,61.8946599
'Архангельск',64.5392985,40.5170083
'Асбест',57.0052428,61.4581071
'Асино',56.9908444,86.1765724
'Астрахань',46.3655808,48.0559979
'Аткарск',51.8736331,45.0003199
'Ахтубинск',48.2753078,46.1906741
'Ачинск',56.2538662,90.47949
'Аша',54.9907105,57.2783704
'Бабаево',59.389309,35.9378318
'Бабушкин',51.7113066,105.8673633
'Бавлы',54.4063588,53.2457946
'Багратионовск',54.3866976,20.6418545
'Байкальск',51.5231282,104.1485752
'Баймак',52.5912632,58.3111995
'Бакал',54.9406759,58.8051085
'Баксан',43.6820621,43.5345627
'Балабаново',55.1773652,36.6567255
'Балаково',52.0222694,47.7828146
'Балахна',56.4949932,43.5758953
'Балашиха',55.7963352,37.9381413
'Балашов',51.5389502,43.1839828
'Балей',51.5822063,116.6380088
